	CRISPR-SMPL-1	CRISPR-CNTRL-1	CRISPR-SMPL-2	CRISPR-CNTRL-2	CRISPR-SMPL-3	CRISPR-CNTRL-3
gRNA-No-00530	196	203	58	331	239	141
gRNA-No-00535	0	0	0	0	0	0
gRNA-No-00538	24	37	11	70	13	26
gRNA-No-00540	0	0	0	0	0	0
gRNA-No-17150	54	67	22	119	39	36
gRNA-No-00545	0	0	0	0	0	0
gRNA-No-00546	0	0	0	0	0	0
gRNA-No-00547	13	15	7	8	14	21
gRNA-No-00548	135	172	61	219	143	144
gRNA-No-00549	0	0	0	0	0	0
gRNA-No-00550	11	18	39	233	85	83
gRNA-No-40900	0	0	0	0	0	0
gRNA-No-00552	24	69	10	53	53	75
gRNA-No-00553	0	0	0	0	0	0
gRNA-No-00554	38	24	3	6	58	20
gRNA-No-00555	6	8	0	0	4	5
gRNA-No-00556	285	336	106	717	254	296
gRNA-No-00557	181	217	72	306	73	53
gRNA-No-00559	66	144	28	84	91	78
gRNA-No-00560	210	332	198	893	221	143
gRNA-No-00561	72	118	46	161	54	22
gRNA-No-00562	0	0	0	0	0	0
gRNA-No-00563	4	0	0	10	6	16
gRNA-No-00564	125	188	118	594	242	247
gRNA-No-00565	59	88	37	255	46	62
gRNA-No-00566	1	8	8	91	1	10
gRNA-No-00567	0	17	0	8	0	0
gRNA-No-00568	12	31	12	41	23	15
gRNA-No-00569	7	38	0	35	5	10
gRNA-No-00570	14	21	11	158	47	93
gRNA-No-00571	0	0	1	0	0	0
gRNA-No-00572	230	370	138	722	396	343
gRNA-No-00574	175	171	95	472	141	155
gRNA-No-00575	36	79	34	136	36	60
gRNA-No-00576	0	0	0	0	0	0
gRNA-No-00577	0	2	0	0	0	0
gRNA-No-00578	9	8	0	25	0	1
gRNA-No-00579	0	0	0	0	0	0
gRNA-No-00580	0	0	0	0	0	0
gRNA-No-17159	0	0	0	0	0	0
gRNA-No-40902	61	80	21	115	27	30
gRNA-No-51114	0	1	0	0	0	0
gRNA-No-00583	163	214	53	224	180	147
gRNA-No-00585	0	0	0	0	0	0
gRNA-No-00586	22	24	11	36	8	24
gRNA-No-00587	37	73	29	205	75	93
